SPATIAL,INC_TOTAL,INC_A,INC_B,INC_C,INC_D,INC_E,INC_F,INC_G,INC_H,INC_I,INC_J
06370,2678,174.07,29.458000000000002,64.272,125.866,187.46,551.668,348.14,696.28,358.85200000000003,141.934
06371,4168,41.68,79.192,225.07200000000003,420.96799999999996,325.104,621.0319999999999,691.888,671.048,500.15999999999997,596.0240000000001
06373,87,6.96,0.0,0.0,24.968999999999998,20.967000000000002,8.961,8.004,0.0,0.0,16.965
06374,2899,28.990000000000002,110.16199999999999,269.607,255.11200000000002,408.75899999999996,608.79,475.4359999999999,516.022,197.132,28.990000000000002
06375,1490,14.9,34.269999999999996,110.26000000000002,153.47,74.5,157.94,332.27,424.65,87.91000000000001,98.34
06376,89,0.0,0.0,0.0,21.983,0.0,16.02,11.036,16.999,22.962,0.0
06377,1035,23.805,20.7,91.08000000000001,45.540000000000006,95.22,294.97499999999997,184.23000000000002,221.49,44.504999999999995,12.42
06378,2394,69.426,38.304,138.852,150.822,275.31,248.97600000000003,304.038,395.01,335.16,435.70799999999997
06379,3642,160.24800000000002,269.50800000000004,229.446,265.866,440.68199999999996,710.19,528.0899999999999,553.584,284.076,200.31
06380,1021,63.302,67.38600000000001,56.155,204.20000000000002,218.494,162.339,81.68,113.331,41.861,14.293999999999999
06382,4004,244.244,112.112,296.29600000000005,344.344,540.5400000000001,792.792,660.6600000000001,576.576,336.336,100.10000000000001
06384,1052,44.184000000000005,23.144000000000002,36.82,59.964,134.656,234.596,171.476,256.688,46.288000000000004,43.132
06385,6363,241.79399999999998,184.527,432.684,458.1360000000001,757.197,1075.347,935.361,1043.532,706.293,521.766
06387,102,0.0,0.0,23.97,19.992,17.034,21.012,19.992,0.0,0.0,0.0
06389,13,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0
06390,118,0.0,0.9440000000000001,2.0060000000000002,0.0,2.0060000000000002,21.004,2.0060000000000002,29.028000000000002,35.046,25.96
06401,6891,778.683,427.242,909.6120000000001,709.773,909.6120000000001,985.4130000000001,647.754,1012.977,330.76800000000003,172.275
06403,2404,120.2,96.16,108.17999999999999,168.28000000000003,175.492,384.64,317.32800000000003,605.808,310.116,120.2
06405,12200,549.0,231.79999999999998,1085.8000000000002,927.1999999999999,1146.8,2379.0,1830.0,1866.6,963.8,1207.8
06409,273,13.922999999999998,49.958999999999996,18.018,12.012,15.015,31.122,31.941,72.891,28.119000000000003,0.0
06410,10029,180.52200000000002,80.232,431.24699999999996,481.392,782.262,1243.596,1424.118,2427.018,1454.205,1514.379
06412,1853,35.207,83.38499999999999,168.623,116.739,153.799,355.776,170.476,396.542,189.006,185.3
06413,5286,237.87,280.158,375.306,338.30400000000003,507.456,925.05,777.0419999999999,983.1960000000001,491.59800000000007,370.02000000000004
06414,38,0.0,0.0,0.0,0.0,0.0,12.996,9.006,15.998000000000001,0.0,0.0
06415,6100,97.60000000000001,164.70000000000002,292.8,298.90000000000003,481.9,1061.3999999999999,701.5,1708.0000000000002,616.0999999999999,677.1
06416,5631,106.989,180.192,467.37300000000005,180.192,518.052,951.6389999999999,878.436,1221.927,585.624,534.945
06417,1902,55.157999999999994,74.178,138.846,110.31599999999999,239.65200000000002,372.79200000000003,241.554,351.87,178.788,138.846
06418,4955,227.93,272.525,445.95,460.81500000000005,832.44,1035.595,584.69,733.3400000000001,183.33500000000004,178.38000000000002
06419,2479,32.227000000000004,42.143,101.63899999999998,151.219,185.92499999999998,361.93399999999997,319.791,542.901,389.203,356.97600000000006
06420,1570,26.69,51.81,48.67,73.79,122.46,266.90000000000003,158.57,464.7200000000001,185.26000000000002,172.7
06422,2650,82.15,0.0,76.85,135.14999999999998,135.14999999999998,315.35,286.20000000000005,707.5500000000001,402.8,506.15000000000003
06423,2068,47.564,8.272,134.42000000000002,90.992,241.956,471.504,295.72400000000005,341.22,128.216,308.132
06424,4941,207.52200000000002,29.646,202.58099999999996,158.112,518.805,825.1469999999999,731.2680000000001,1284.66,489.15900000000005,494.1
06426,1494,38.844,74.7,65.736,116.532,162.846,65.736,218.124,280.872,164.34,303.28200000000004
06437,8553,222.37800000000001,111.18900000000001,427.65000000000003,376.33200000000005,761.2170000000001,1223.0790000000002,975.042,1650.729,1086.231,1719.153
06438,1014,14.195999999999998,28.391999999999996,107.484,14.195999999999998,23.322,150.07200000000003,282.90599999999995,167.31,98.35799999999999,129.792
06441,2050,57.39999999999999,75.85000000000001,61.5,53.300000000000004,182.45000000000002,246.0,268.55,502.25,315.7,287.0
06442,1194,66.86399999999999,16.715999999999998,64.47600000000001,60.894,120.594,250.73999999999998,119.4,242.382,75.222,176.71200000000002
06443,6791,183.35700000000003,244.47600000000003,319.177,271.64,495.743,903.2030000000001,794.5469999999999,1208.7980000000002,943.9490000000001,1439.692
06444,69,0.0,0.0,34.017,0.0,0.0,0.0,10.004999999999999,14.973,0.0,10.004999999999999
06447,2296,29.848000000000003,22.96,61.992000000000004,78.06400000000001,215.824,410.984,298.48,463.792,342.104,371.952
06450,14977,673.965,464.287,1213.137,1467.746,2591.021,3100.239,1961.987,2441.251,673.965,389.40200000000004
06451,10260,554.0400000000001,359.1,1303.02,1067.0400000000002,1590.3,2052.0,1354.3200000000002,1190.1599999999999,533.5200000000001,256.5
06455,1316,47.376000000000005,17.108,22.372,85.54,125.02,119.756,127.65199999999999,431.64799999999997,197.4,142.12800000000001
06456,131,18.994999999999997,0.0,23.056,6.943,0.0,0.0,9.039000000000001,14.017,17.947,41.003
