SPATIAL,RAC_TOTAL,RAC_WHITE,RAC_BLACK,RAC_INDIAN,RAC_ASIAN,RAC_PACIFIC,RAC_OTHER,RAC_HISPANIC
02301,60659,21173,26176,146,935,0,6088,6141
02302,34154,16328,11273,127,738,0,2219,3469
02322,4476,3315,491,17,315,0,139,199
02324,27381,22900,2029,28,511,15,774,1124
02330,11557,10831,212,0,117,0,278,119
02332,15444,14953,134,0,163,0,93,101
02333,14222,13389,77,34,231,0,221,270
02338,7753,7347,116,0,19,0,39,232
02339,14332,13601,91,0,236,14,272,118
02341,10477,9710,205,19,122,0,248,173
02343,10654,8263,1046,0,372,0,80,893
02346,24005,22533,422,0,188,23,543,296
02347,11230,10724,56,0,82,0,193,175
02351,16196,14844,293,0,421,0,229,409
02356,12498,11636,267,0,181,0,68,346
02357,1234,1009,88,0,18,0,56,63
02359,18166,16827,110,0,257,0,449,523
02360,58024,53211,983,42,694,0,1688,1406
02364,13106,12369,107,0,88,0,208,334
02366,192,60,48,0,0,0,14,70
02367,2913,2781,0,0,17,0,34,81
02368,33880,12592,13225,21,3923,0,1518,2601
02370,17725,16356,525,0,123,0,469,252
02375,10038,8519,704,0,174,0,366,275
02379,7044,6223,177,0,6,0,217,421
02382,14767,13951,78,0,120,0,366,252
02420,14325,9837,98,0,3764,0,449,177
02421,18611,12833,223,11,4617,0,521,406
02445,21029,15070,909,32,3203,0,793,1022
02446,29589,20995,562,0,5128,24,940,1940
02451,18130,12299,1010,0,2653,0,485,1683
02452,15295,10772,1047,63,1717,0,396,1300
02453,29256,18389,1485,0,3205,16,807,5354
02457,1622,927,102,0,336,9,62,186
02458,12868,9650,550,0,1613,8,367,680
02459,19020,14090,660,23,2998,0,479,770
02460,10125,7705,461,8,1065,0,393,493
02461,7267,5235,88,22,1289,0,263,370
02462,1419,1044,24,0,177,0,75,99
02464,3136,2103,93,0,642,0,127,171
02465,11875,8954,345,0,1499,0,258,819
02466,8573,6141,325,12,1370,0,299,426
02467,22048,15697,920,0,2837,0,745,1849
02468,5485,4417,97,0,709,0,147,115
02472,33874,25982,907,32,2618,0,945,3390
02474,27916,22125,601,96,3239,0,899,956
02476,16492,13510,260,32,1500,0,509,681
02478,25548,19651,446,24,3575,4,596,1252
02481,16328,13134,289,28,1573,12,565,727
02482,10959,8707,226,0,1283,0,275,468
02492,20185,17692,191,0,1422,0,398,482
02493,11946,9580,233,0,1260,0,377,496
02494,9982,7875,366,0,1063,0,316,362
02532,12370,11345,324,0,7,0,298,396
02534,952,796,39,0,30,0,15,72
02535,1812,1336,29,238,7,0,149,53
02536,19366,16596,810,193,272,0,897,598
02537,6249,6017,1,0,0,0,176,55
02538,3228,3014,107,0,0,0,97,10
02539,4247,3747,102,0,13,0,291,94
02540,8635,7734,202,0,436,0,193,70
02542,756,567,43,0,18,2,12,114
02543,935,928,0,0,0,0,0,7
02553,115,115,0,0,0,0,0,0
02554,10434,7785,705,62,97,0,533,1252
02556,2621,2416,10,0,18,0,90,87
02557,4647,4008,133,34,0,0,369,103
02558,1243,843,16,0,0,0,384,0
02559,4243,4063,81,0,0,0,25,74
02561,479,479,0,0,0,0,0,0
02562,3194,2942,28,0,85,0,48,91
02563,9469,9010,0,0,189,0,128,142
02564,250,220,6,0,8,0,0,16
02568,4072,3531,302,0,21,0,207,11
02571,10628,8610,315,0,34,0,1323,346
02575,2306,2222,38,0,12,0,9,25
02576,5225,4484,86,0,54,0,518,83
02584,10,10,0,0,0,0,0,0
02601,14503,10687,1556,40,219,139,659,1203
02630,2355,2307,48,0,0,0,0,0
02631,9782,9417,91,0,0,0,115,159
02632,10293,9825,0,28,126,0,227,87
02633,3859,3500,153,0,21,0,78,107
02635,3486,3415,17,0,0,0,11,43
02637,125,125,0,0,0,0,0,0
02638,3479,3252,0,17,15,0,58,137
02639,2435,2069,167,0,0,0,64,135
02641,236,236,0,0,0,0,0,0
02642,4898,4606,71,0,56,0,89,76
02643,9,9,0,0,0,0,0,0
02644,4829,4561,0,0,0,0,46,222
02645,9457,8773,190,0,213,13,98,170
02646,1888,1844,0,0,0,0,17,27
02647,169,169,0,0,0,0,0,0
02648,6456,5927,134,0,24,0,235,136
02649,14080,12225,381,483,131,0,517,343
02650,1197,1067,32,0,0,0,0,98
02651,26,26,0,0,0,0,0,0
02652,781,768,0,0,0,0,0,13
02653,5879,5565,166,0,40,0,0,108
02655,3465,3357,31,0,0,0,20,57
02657,2962,2505,88,0,88,0,117,164
02659,835,813,0,0,22,0,0,0
02660,6557,5972,232,0,89,0,85,179
02663,120,120,0,0,0,0,0,0
02664,9049,8427,44,0,238,0,185,155
02666,808,765,11,9,0,0,6,17
02667,3048,2811,78,0,58,0,91,10
02668,2934,2857,0,0,0,0,77,0
02669,251,192,59,0,0,0,0,0
02670,1325,1252,5,0,10,0,28,30
02671,913,887,0,0,0,0,0,26
02672,257,217,0,0,0,0,40,0
02673,8571,7460,336,27,434,0,160,154
02675,6383,5890,52,0,227,0,115,99
02702,4632,4455,8,0,27,0,69,73
